id,title,description,google_product_category,product_type,brand,identifier_exists,custom_label_0,custom_label_1,custom_label_2,custom_label_3
40876,"Плазморіз MAGNITEK CUT-100 CNC, CUT, 100 А, 380V","Плазморіз MAGNITEK CUT-100 CNC — апарат плазмового різання з системою ЧПУ та струмом до 100 А. Живлення 380V, максимальна товщина різу 35 мм. Газовий тест, безконтактне запалювання, пілотна дуга, режим ЧПУ, автоматичний контроль тиску повітря. Автоматична перевірка пальника та тепловий захист. Для машинобудування, суднобудування, виробництва металоконструкцій та автопрому.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,CUT-plasma,
40877,"Плазморіз MAGNITEK ProCUT-105 MAX, CUT, 105 А, 380V","Плазморіз MAGNITEK ProCUT-105 MAX — промисловий інвертор плазмового різання на IGBT-модулях з технологією Soft Switch. Струм 20-105 А, живлення 380V (трифазна), ПВ 100% при 105 А. Максимальна товщина різу 50 мм (ручний різак). Пневмопідпал (Pilot Arc) для роботи з ЧПУ-верстатами, вихід на дільник напруги, режими 2Т/4Т, POST GAS. Тиск повітря 5-7 бар, витрата до 300 л/хв. Вага 55 кг, розміри 580×300×600 мм.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,CUT-plasma,
40878,"Плазморіз MAGNITEK CUT-160 CNC, CUT, 160 А, 380V","Плазморіз MAGNITEK CUT-160 CNC — апарат плазмового різання з системою ЧПУ та струмом 20-160 А. Живлення 380V (трифазна), ПВ 60% при 160 А. Максимальна товщина різу 60 мм. Тиск повітря 8-10 бар, витрата від 260 л/хв. Режими 2Т/4Т, LATCH, вибір пальника (ручний/ЧПУ), Perforation Enhance, PRE/POST GAS, Soft Start. У комплекті плазмотрон XF 300 АТ рідинного охолодження 12 м, кабель маси. Вага 75 кг.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,CUT-plasma,
40879,"Плазморіз MAGNITEK CUT-200 CNC, CUT, 200 А, 380V","Плазморіз MAGNITEK CUT-200 CNC — апарат плазмового різання з системою ЧПУ та струмом 20-200 А. Живлення 380V (трифазна). Максимальна товщина різу 70 мм. Тиск повітря 8-10 бар, витрата від 260 л/хв. Режими 2Т/4Т, LATCH, Perforation Enhance, PRE/POST GAS, Soft Start, вибір пальника для ручного або ЧПУ-різання. У комплекті плазмотрон XF 300 АТ рідинного охолодження 12 м. Вага 75 кг.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,CUT-plasma,
40880,"Зварювальний напівавтомат MAGNITEK MIG-280, MIG/MAG/MMA, 280 А, 220V","Зварювальний напівавтомат MAGNITEK MIG-280 — інверторний напівавтомат для MIG/MAG та MMA зварювання. Струм 30-280 А, напруга 220V. Підтримка порошкового дроту без газу (зміна полярності). Дріт 0,6-1,0 мм, котушка 1 кг у комплекті. Вбудований пальник MB 14, антизалипання, стабілізація дуги. Вага 7 кг. У комплекті кабель маси, електродотримач, MIG пальник 2,5 м, захисний щиток, щітка-молоток.",1238,Сварка > Аппараты > Полуавтоматы MIG,MAGNITEK,no,apparat,,MIG-MAG,
40885,"Зварювальний напівавтомат MAGNITEK ProMIG-200SYN Pulse, MIG/MAG/TIG/MMA, 200 А, 220V","Зварювальний напівавтомат MAGNITEK ProMIG-200SYN Pulse — синергетичний інвертор із функцією Pulse MIG для зварювання алюмінію, нержавійки, сталі, міді. Режими MIG/MAG, TIG DC, MMA. Струм MIG 10-200 А, TIG 5-200 А, напруга 220V. Дріт Fe/SS 0,8-1,0 мм, алюміній 0,8-1,0 мм, 4-роликовий подаючий механізм. Функції Pre/Post Gas, Burn-back, 2Т/4Т, Job List. Вага 20 кг, розміри 490×230×385 мм.",1238,Сварка > Аппараты > Полуавтоматы MIG,MAGNITEK,no,apparat,,MIG-MAG,
40886,"Зварювальний напівавтомат MAGNITEK ProMIG-250SYN DPulse, MIG/MAG/MMA, 250 А, 380V","Зварювальний напівавтомат MAGNITEK ProMIG-250SYN DPulse — промисловий інвертор із подвійним імпульсом (Double Pulse MIG) для зварювання алюмінію, кольорових і чорних металів. Режим S4T для алюмінію, синергетичний алгоритм SYNERGIC, Job List із 10 програмами. MIG Pulse, MIG Double Pulse, MMA, ARC FORCE, HOT START. Живлення 380V. Котушка до 300 мм, 4-роликовий механізм. Регулювання індуктивності, Pre/Post Gas, Down Slope, 2Т/4Т.",1238,Сварка > Аппараты > Полуавтоматы MIG,MAGNITEK,no,apparat,,MIG-MAG,
40892,"Зварювальний напівавтомат MAGNITEK PulseMIG-500F, MIG/MAG/MMA/Pulse, 500 А, 380V","Зварювальний напівавтомат MAGNITEK PulseMIG-500F — потужний промисловий напівавтомат із Pulse MIG, MIG/MAG та MMA. Струм 50-500 А, живлення 380V. Дріт 0,8-1,6 мм: сталевий, алюмінієвий, порошковий. Зовнішній подаючий механізм SB-10F-1, кабель 10 м. Частота імпульсу 0,5-200 Гц. Функції Memory, Crater Arc, Spot Welding, Gas Check, 2Т/4Т. Вихід редуктора з підігрівом 36V. Вага 28 кг, пальник MB501 4 м у комплекті.",1238,Сварка > Аппараты > Полуавтоматы MIG,MAGNITEK,no,apparat,,MIG-MAG,
40894,"Блок рідинного охолодження MAGNITEK 106D, 6 л, TIG/CUT, 220V","Блок рідинного охолодження MAGNITEK 106D — пристрій для охолодження пальників зварювальних апаратів TIG та плазмових різаків (CUT) із рідинним охолодженням. Ємність бака 6 л, насос 120 Вт, максимальний потік 12 л/хв. Напруга 220V, рівень шуму менше 50 дБ. Підходить до зварювальних апаратів TIG та плазморізів із рідинним охолодженням. Рідина: дистильована вода або спеціальний антифриз. Вага 12 кг, розміри 450×300×250 мм.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,MIG-MAG,
40895,"Блок рідинного охолодження MAGNITEK WRC300, 9 л, TIG/CUT, 220V","Блок рідинного охолодження MAGNITEK WRC300 — пристрій для охолодження пальників апаратів TIG та плазморізів (CUT) з рідинним охолодженням. Ємність бака 9 л для тривалих зварювальних сесій. Підходить до зварювальних апаратів і плазморізів із рідинним охолодженням. Рідина: дистильована вода або спеціальний антифриз. Застосовується в зварювальних цехах, авторемонтних і виробничих майстернях.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,MIG-MAG,
40896,"Споттер для рихтування кузова MAGNITEK DL-2800, 2800 А, 220V","Споттер для рихтування кузова MAGNITEK DL-2800 — конденсаторний апарат точкового зварювання з мікропроцесорним керуванням, LCD-дисплеєм та струмом до 2800 А. Живлення 220V, вхідний струм 45/30 А. Режими: зварювання шайб, шпильок, вугільний електрод, точкове зварювання, нагрівання, усадка. Товщина металу 0,8+1,1 мм. Підходить для ремонту алюмінію та сталі. Вага 40 кг. У комплекті зворотний молоток, шайби, вугільні електроди, адаптери, колеса.",1238,Сварка > Аппараты > Споттеры,MAGNITEK,no,apparat,,MIG-MAG,
40897,"Споттер інверторний MAGNITEK AL-DL-6000, алюміній та сталь, 220V","Споттер MAGNITEK AL-DL-6000 — комбінована ремонтна станція для точкового зварювання алюмінію та сталі на одному візку (2 споттери). Блок AL2800: 2800 А конденсаторний, місткість 66 000 мкФ, час зварювання 1-3 мс, шпильки 3-8 мм, 230V. Блок DL2800: 2800 А, 220V, товщина 0,8+1,1 мм. Підходить для BMW, Mercedes, Audi, Volvo та інших алюмінієвих кузовів. Рихтувальні пристосування, пістолети для алюмінію та сталі в комплекті.",1238,Сварка > Аппараты > Споттеры,MAGNITEK,no,apparat,,MIG-MAG,
40898,"Споттер для рихтування кузова MAGNITEK DL-5000, 5000 А, 220-380V","Споттер MAGNITEK DL-5000A — конденсаторний апарат точкового зварювання з мікропроцесорним керуванням та максимальним струмом 5000 А. Живлення 220V або 380V, потужність 19 кВт. Товщина металу 0,8+0,8 мм. Режими: шайби, шпильки, вугільний електрод, нагрівання, усадка, контактне зварювання. Регулювання часу 0-99 мс. Захист від перевантажень, перепадів напруги. Вага 70 кг. У комплекті зворотний молоток, шайби, адаптери, колеса.",1238,Сварка > Аппараты > Споттеры,MAGNITEK,no,apparat,,MIG-MAG,
40899,"Споттер для рихтування кузова MAGNITEK AL-2800, алюміній та сталь, 220V","Споттер MAGNITEK AL-2800 — конденсаторний апарат точкового зварювання з мікропроцесорним керуванням для алюмінію та сталі. Струм 2800 А, місткість конденсаторів 66 000 мкФ, час зварювання 1-3 мс. Живлення 230V, потужність 1,6 кВт. Діаметр шпильок 3-8 мм, до 20 зварювань/хв. Технологія CD Welding, цифровий дисплей напруги. Розміри 540×400×970 мм, вага 30 кг. У комплекті пістолети для алюмінію і сталі, цанги М4-М5, зворотні молотки.",1238,Сварка > Аппараты > Споттеры,MAGNITEK,no,apparat,,MIG-MAG,
40900,"Пуско-зарядний пристрій MAGNITEK G.I-1000, 1000 А пусковий, 12/24V, 220V","Пуско-зарядний пристрій MAGNITEK G.I-1000 — потужний пристрій для зарядки акумуляторів та запуску двигунів легкових і вантажних автомобілів, сільськогосподарської техніки. Пусковий струм 1000 А, зарядний 120 А, вихідна напруга 12/24V, потужність 12 кВт. Ємність АКБ 50-1000 Аг. Стрілкова індикація, амперметр, захист від неправильної полярності та перегріву. Вага 55 кг. Транспортні колеса та ручка у конструкції.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,MIG-MAG,
40901,"Пуско-зарядний пристрій MAGNITEK G.I-1500, 1500 А пусковий, 12/24V, 380V","Пуско-зарядний пристрій MAGNITEK G.I-1500 — апарат для зарядки та запуску вантажної техніки, тракторів, комбайнів. Пусковий струм 1500 А, зарядний 150 А, вихідна напруга 12/24V, живлення 380V. Потужність 6 кВт, ємність АКБ 50-1500 Аг. Стрілкова індикація, захист від перегріву та неправильної полярності. Вага 36 кг, розміри 38×31×63 см. Транспортні колеса та ручка у конструкції.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,MIG-MAG,
40904,"Плазмотрон РТ31 MG із ручкою, ручне різання, 4 м, CUT-30 / CUT-40 / CUT-50","Плазмотрон РТ31 з ручкою MG — вузол для ручного плазмового різання в зборі з рукояткою. Сумісний із плазморізами CUT-30, CUT-40, CUT-50 та аналогами. Контактний підпал. Стандартні витратні матеріали PT31: сопла, катоди, ізолятори, ковпачки. Застосовується для різання листового металу, профілю, труб, кузовного ремонту. Довжина кабелю 4 м, повітряне охолодження.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,consumable,r80_plazma
40905,"Головка плазмотрона РТ31 для ручного різання, CUT-30 / CUT-40 / CUT-50","Головка плазмотрона РТ31 для ручного різання — ріжучий модуль без рукоятки для самостійного збирання або заміни. Сумісна з плазморізами CUT-30, CUT-40, CUT-50 та аналогами. Контактний підпал. Стандартні витратні матеріали PT31. Повітряне охолодження. Використовується при ремонті або модернізації плазмотрона.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,consumable,r80_plazma
40906,"Плазмотрон РТ31 MG для ручного різання, 4 м, CUT-30 / CUT-40 / CUT-50","Плазмотрон РТ31 MG — модернізований пальник для ручного плазмового різання з прогумованою антиковзною ручкою та кабелем 4 м. Контактний підпал, повітряне охолодження, робочий струм 30-50 А. Захищена кнопка з пластиковим кожухом. Сумісний із плазморізами CUT-30, CUT-40, CUT-50. Усі витратні матеріали PT31 підходять до версії MG. Для різання листового металу, профілю, труб, кузовного ремонту.",1238,Сварка > Аппараты > Плазмотроны,MAGNITEK,no,gorelka,,consumable,r80_plazma
40907,"Сопло довге мідне для плазмотрона РТ31, Ø 1,0 мм, 40 А","Сопло довге мідне для плазмотрона РТ31 — витратний елемент для плазмового різання. Діаметр вихідного отвору 1,0 мм, навантаження 40 А. Виготовлено методом холодного штампування з міді. Для повного комплекту потрібні: катод довгий, керамічний ковпачок, керамічний завихрювач. Сумісність: плазмотрон РТ31 для плазморізів CUT-30, CUT-40, CUT-50 та аналогів.",499947,Сварка > Расходники > Сопла и наконечники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40908,"Катод довгий мідний для плазмотрона РТ31, CUT-30 / CUT-40 / CUT-50","Катод довгий мідний для плазмотрона РТ31 — витратний електрод для плазмового різання. Виготовлений із міді, двосторонній — можна перевертати для збільшення ресурсу. Використовується разом із подовженим (довгим) соплом. Сумісність: плазмотрон РТ31 для плазморізів CUT-30, CUT-40, CUT-50 та аналогів.",499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40909,"Сопло довге високоресурсне для плазмотрона РТ31, Ø 1,0 мм, 40 А","Сопло довге високоресурсне для плазмотрона РТ31 — витратний елемент із збільшеним ресурсом для плазмового різання. Діаметр вихідного отвору 1,0 мм, навантаження 40 А. Виготовлено з мідного сплаву підвищеної міцності або з нікелевим покриттям. Для повного комплекту потрібні: катод, керамічний ковпачок, завихрювач. Сумісність: плазмотрон РТ31 для CUT-30, CUT-40, CUT-50 та аналогів.",499947,Сварка > Расходники > Сопла и наконечники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40910,"Катод довгий високоресурсний для плазмотрона РТ31, CUT-30 / CUT-40 / CUT-50","Катод довгий високоресурсний для плазмотрона РТ31 — витратний електрод із збільшеним ресурсом служби. Подвійне використання (двосторонній). Підходить для пар із довгим соплом. Сумісність: плазмотрон РТ31 для плазморізів CUT-30, CUT-40, CUT-50 та аналогів. Рекомендується для інтенсивного виробничого різання.",499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40911,"Катод довгий нікельований для плазмотрона РТ31, CUT-30 / CUT-40 / CUT-50","Катод довгий нікельований для плазмотрона РТ31 — витратний електрод із нікелевим покриттям для кращого охолодження та тривалого ресурсу. Двосторонній, підходить для пар із довгим соплом. Сумісність: плазмотрон РТ31 для плазморізів CUT-30, CUT-40, CUT-50 та аналогів. Нікелеве покриття підвищує стійкість до теплового навантаження.",499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40912,"Сопло довге нікельоване для плазмотрона РТ31, Ø 1,0 мм, 40 А","Сопло довге нікельоване для плазмотрона РТ31 — витратний елемент із нікелевим покриттям для покращеного охолодження та тривалого ресурсу. Діаметр вихідного отвору 1,0 мм, навантаження 40 А. Виготовлено з мідного сплаву з нікелюванням. Для повного комплекту потрібні: катод, ковпачок, завихрювач. Сумісність: плазмотрон РТ31 для CUT-30, CUT-40, CUT-50 та аналогів.",499947,Сварка > Расходники > Сопла и наконечники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40913,"Катод короткий мідний для плазмотрона РТ31, CUT-30 / CUT-40 / CUT-50","Катод короткий мідний для плазмотрона РТ31 — витратний електрод для плазмового різання. Виготовлений із міді, двосторонній. Підходить для пар із коротким соплом (Ø 0,9 мм, 30 А). Сумісність: плазмотрон РТ31 для плазморізів CUT-30, CUT-40, CUT-50 та аналогів.",499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40914,"Сопло коротке мідне для плазмотрона РТ31, Ø 0,9 мм, 30 А","Сопло коротке мідне для плазмотрона РТ31 — витратний елемент для плазмового різання. Діаметр вихідного отвору 0,9 мм, навантаження 30 А. Виготовлено методом холодного штампування з міді. Для повного комплекту потрібні: катод короткий, керамічний ковпачок, завихрювач. Сумісність: плазмотрон РТ31 для плазморізів CUT-30, CUT-40, CUT-50 та аналогів.",499947,Сварка > Расходники > Сопла и наконечники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40915,"Ізолятор керамічний для плазмотрона РТ31, CUT-30 / CUT-40 / CUT-50","Ізолятор керамічний для плазмотрона РТ31 — завихрювач для формування потоку захисного повітря навколо катода. Виготовлений із кераміки, стійкий до високих температур. Входить до стандартного комплекту витратних матеріалів PT31 разом із соплом, катодом і ковпачком. Сумісність: плазмотрон РТ31 для плазморізів CUT-30, CUT-40, CUT-50 та аналогів.",499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40919,"Ковпачок керамічний для плазмотрона РТ31, CUT-30 / CUT-40 / CUT-50","Ковпачок керамічний для плазмотрона РТ31 — захисний елемент сопла для плазмового різання. Виготовлений із жаростійкої кераміки. Входить до стандартного комплекту витратних матеріалів PT31 разом із соплом, катодом та ізолятором. Сумісність: плазмотрон РТ31 для плазморізів CUT-30, CUT-40, CUT-50 та аналогів.",499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40920,"Фільтр-вологовідділювач AW2000-02 із регулятором тиску, G1/4, 10 бар","Фільтр-регулятор тиску AW2000-02 — пристрій для очищення стисненого повітря від вологи, оливи, пилу та механічних частинок. Точність фільтрації 20 мкм, робочий тиск 0-10 бар, максимальний 15 бар. Підключення G1/4, манометр PT1/8. Прозора колба з ручним зливом конденсату, кронштейн кріплення. Підходить для компресорів, фарбопультів, пневмоінструменту. Робоча температура -5...+60°C.",499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,
40921,"Кнопка керування для плазмотрона РТ31, 12-24V, CUT-40 / CUT-50","Кнопка керування для плазмотрона РТ31 — герметичний перемикач для встановлення в рукоятку плазморіза. Напруга 12-24V, струм 3-5 А, корпус із вогнетривкого пластику, силіконовий захисний кожух від пилу та вологи. Ресурс понад 100 000 циклів. Сумісність: плазмотрони РТ31 для плазморізів CUT-40, CUT-50 та аналогів. Підходить для заміни пошкодженої кнопки.",499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40922,"Циркуль із магнітом для плазмового різання кіл РТ31, шкала 50 см, Ø 60-1000 мм","Циркуль із магнітом для плазмового різання кіл — пристосування для точного вирізання кіл та дуг із листового металу. Магнітна основа для фіксації на металі, гравірована шкала 50 см, діапазон діаметрів 60-1000 мм (налаштування 60-500 мм). Корпус із хромованої сталі. Підходить для більшості плазмотронів РТ31 та аналогів. Підтримує стабільний зазор між соплом і металом.",499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,r80_plazma
40923,"Плазмотрон AG60 для ручного різання, 4 м, CUT-60","Плазмотрон AG60 — пальник для ручного плазмового різання з кабелем 4 м. Розрахований на роботу зі струмом до 60 А. Повітряне охолодження. Стандартні витратні матеріали AG60: сопла, катоди, ковпачки. Підходить для різання сталі, нержавійки, алюмінію, міді на плазморізах серії CUT-60 та аналогах. Контактне або безконтактне підключення залежно від головки.",1238,Сварка > Аппараты > Плазмотроны,MAGNITEK,no,gorelka,,consumable,
40924,"Головка AG60 MG із ручкою для ручного різання, безконтактна, CUT-60","Головка AG60 MG — ріжучий модуль для ручного плазмового різання із прогумованою ручкою та безконтактним підпалом HF. Підходить для плазморізів CUT-60 та аналогів. Повітряне охолодження. Витратні матеріали серії AG60: сопла, катоди, ковпачки. Для різання сталі, нержавійки, алюмінію на струмах до 60 А.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,consumable,
40925,"Плазмотрон Р60 для ручного різання, безконтактний, 5 м, CUT-50 / CUT-60 / CUT-80 / LG-60","Плазмотрон P60 — пальник для ручного плазмового різання з безконтактним підпалом (HF) і кабелем 5 м. Робочий струм 40-80 А, тиск 4-5 бар, максимальна товщина різу 25 мм. Повітряне охолодження. Підключення: центральний адаптер або байонет. Сумісність: плазморізи CUT-50, CUT-60, CUT-80, LG-60. Для різання чорних і кольорових металів, виготовлення металоконструкцій.",1238,Сварка > Аппараты > Плазмотроны,MAGNITEK,no,gorelka,,consumable,
40926,"Головка Р60 АТ для автоматичного різання, безконтактна, CUT-60 / CUT-80 / LG-60","Головка P60 АТ — ріжучий модуль для автоматизованого плазмового різання з безконтактним HF-підпалом. Робочий струм 40-80 А, довжина корпусу 280 мм, термостійкий пластик. Максимальна товщина різу 25 мм. Оптимізована для ЧПУ-верстатів та автоматизованих систем. Сумісність: плазморізи CUT-60, CUT-80, LG-60. Повітряне охолодження.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,consumable,
40927,"Головка AG60 із ручкою для ручного різання, CUT-60","Головка AG60 з ручкою — ріжучий модуль для ручного плазмового різання зі стандартним контактним підпалом. Підходить для плазморізів CUT-60 та аналогів. Повітряне охолодження. Витратні матеріали серії AG60: сопла, катоди, ковпачки. Для різання сталі, нержавійки, алюмінію до 60 А.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,consumable,
40928,"Головка AG60 АТ із ручкою для автоматичного різання, контактна, CUT-60","Головка AG60 АТ — ріжучий модуль для автоматизованого плазмового різання зі стандартним контактним підпалом. Підходить для ЧПУ-верстатів і портальних систем. Сумісність: плазморізи CUT-60 та аналоги. Витратні матеріали серії AG60: сопла, катоди, ковпачки. Повітряне охолодження.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,consumable,
40929,"Сопло нікельоване для плазмотрона AG60, CUT-60",Сопло нікельоване для плазмотрона AG60 — витратний елемент із нікелевим покриттям для покращеного охолодження та тривалого ресурсу. Призначений для формування плазмового потоку під час різання. Сумісність: плазмотрон AG60 для плазморізів CUT-60 та аналогів. Використовується разом із нікельованим катодом і захисним ковпачком.,499947,Сварка > Расходники > Сопла и наконечники,MAGNITEK,no,rashodnik,,consumable,
40930,"Катод нікельований для плазмотрона AG60, CUT-60",Катод нікельований для плазмотрона AG60 — витратний електрод із нікелевим покриттям. Підвищена стійкість до теплового навантаження. Сумісність: плазмотрон AG60 для плазморізів CUT-60 та аналогів. Використовується в парі з нікельованим соплом і захисним ковпачком AG60.,499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,
40931,"Катод нікельований високоресурсний для плазмотрона AG60, CUT-60",Катод нікельований високоресурсний для плазмотрона AG60 — витратний електрод із нікелевим покриттям збільшеного ресурсу служби. Рекомендується для інтенсивного різання та виробничих умов. Сумісність: плазмотрон AG60 для плазморізів CUT-60 та аналогів. Використовується разом із нікельованим соплом і захисним ковпачком.,499947,Сварка > Расходники,MAGNITEK,no,rashodnik,,consumable,
40932,"Сопло нікельоване високоресурсне для плазмотрона AG60, CUT-60",Сопло нікельоване високоресурсне для плазмотрона AG60 — витратний елемент із нікелевим покриттям збільшеного ресурсу. Для інтенсивного виробничого різання на струмах до 60 А. Сумісність: плазмотрон AG60 для плазморізів CUT-60 та аналогів. Використовується разом із нікельованим катодом та захисним ковпачком.,499947,Сварка > Расходники > Сопла и наконечники,MAGNITEK,no,rashodnik,,consumable,
